,session_duration,wild_mouse_duration,pct_scroll_move,screen_width,product_ean,pct_doubleclick,browser_name,pct_mouse_click,pct_mouse_move,pct_wild_mouse,pct_click_product_info,mouse_move_total_rel_distance,scroll_move_total_rel_distance,page_activity_duration,session_start,screen_height,pct_input,pct_scrandom,pct_rage_click,ack,pct_scroll_move_duration,pct_click,total_load_time,registration
4928,1.1139545699488511,9.53009,64.29599,1366,0.6985281956407052,-0.5169475801565281,4,9.38788,-1.4229266306399158,43.70498,56.91489,-1.3081649997074691,0.4231610668704524,-0.634906318560091,-0.19790490087529158,768,-0.28217091323912746,38.74997,-0.18382058064129078,0.0,-0.5704859184649652,-0.43628186488062887,-0.07147355013648235,0.9929779078850857
2192,-1.0324062238370006,9.18078,47.64583,1920,0.25731808602815565,0.27452890496813553,2,8.81669,2.3342454711179257,36.44535,60.10461,-0.3807092107995798,-1.0800989770419083,-1.4712300620854528,0.8831496229621825,800,-0.6815020752962445,33.95243,0.5736562981462487,0.0,-1.0065853707006154,-1.0487387970049935,-0.08363022845936482,-0.12448952526433948
9128,-1.071781488243673,9.79385,34.99158,1280,-0.6022874991312971,1.7880998510767316,2,10.25112,0.9418385546421038,52.88057,58.90936,0.37882643782341635,0.3742405610165461,0.07685775123745635,-1.0770856654353533,1,-0.02227932832867601,29.79502,2.1422517269701373,0.0,-0.2702198087158319,-0.04808723421242652,-0.5903743291880978,1.365257371218065
4478,0.9798481090872493,8.95969,68.54233,1280,-0.41104898187597744,-0.8037685971501266,2,8.76494,-0.833027321409336,46.25379,46.38067,-0.05508096549310537,-0.041808894289951146,1.7756664269451337,-0.1701630044637838,1080,-0.8920820283839006,22.56002,0.3482889364264237,1.0,0.6934752606905148,1.6203277080680278,-0.06296647729454218,2.085355566031827
3338,1.2564883769685253,9.89268,50.59491,1920,0.2033805315386136,1.2107510486859245,1,9.25179,1.3056086392361888,47.23538,47.40487,-0.24095425532429754,-1.11248974980534,-1.2117381918980903,-0.8009500853710128,768,0.1014315355049988,40.81175,0.8035151865711159,0.0,-0.9518184871554918,-0.9329290980282153,-1.0695791863933923,-0.2316410556979774
47,0.41994910687428544,10.43383,68.68298,1,-0.2554143949934606,1.0061724593104253,1,9.75754,-0.48648036042064535,48.5791,39.56648,1.486757496218892,-0.25645368133673485,0.49541242331962804,-0.7781028297889676,1080,0.6621988811977801,63.09126,0.39435417405323986,1.0,0.9976773689072606,0.12422215127305827,-0.17976480451284002,-0.930036179723713
6542,0.5352471248771875,8.93976,59.31212,800,-1.1526234449794686,-0.40615734086160066,2,9.02595,-0.8158262753851424,51.03117,42.6541,-0.07405530961506886,2.582338357021029,-0.20654474896695088,0.5554681071996015,600,-0.9909487635693653,51.92842,-0.042722519602817914,1.0,0.0544062984868969,-0.03494779657525755,-1.3134654078716488,-1.5887709585727845
1512,-0.5499713942219999,9.90476,66.0019,1280,-0.6711031147647526,-0.11627140777930846,2,7.6694,0.4159498818466963,39.68651,68.26299,1.4202169975709797,-0.5219962054173718,-1.496786154473882,0.10179559909470504,600,0.18332590466882456,42.44824,-0.06038385903495845,1.0,-1.2474351509892987,-1.7861248753647785,1.0707445970692107,-0.9999511933079156
6022,-1.2356666487571688,9.4826,73.70902,2,0.9393147578574689,0.31157470019373623,1,9.991,-0.4393555463890923,46.98095,59.01453,0.3781826519822626,-2.009002818894055,-1.692017021562123,-0.4752650117821686,1,-0.24170602481507844,42.86747,0.5977876230765374,0.0,-1.1590330186991074,-1.9596496317565135,-1.7451059942492289,-0.5177902745223674
3893,-1.3935267735862917,9.52209,47.01604,1920,-0.7455822011863505,1.1245768481114085,7,11.39096,0.7679564903041727,65.79773,33.92973,1.036445127830517,-1.138634977675391,0.7562146229301833,-0.564379962640489,1080,-0.3121310493489551,50.26744,0.053775237301313415,1.0,1.3215795570245414,0.5723503771484623,0.23491729478579929,0.2740304831687576
